Species,NewChrom,ChromArm,MbDNA_Female,Female_UR,Female_Rep,Female_Unrep,MbDNA_Male,Male_UR,Male_Rep,Male_Unrep,SexDiff,SexDiffRep,SexDiffUnrep,Chromosomes,Groups,Sex System,FemaleTree,MaleTree,GroupFemale,GroupMale,Montium,Female.Chrom.Tree,Female.Arm.Tree
Drosophila_yakuba,4,6,180.6,0.79,142.7,37.9,178.9,0.75,134.2,44.7,3.4,17,-13.598,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_teissieri,4,6,165,0.813,134.1,30.9,162.9,0.755,123,39.9,4.2,22.3,-18.111,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_mauritiana,4,6,164.9,0.83,136.9,28,162.6,0.83,135,27.6,4.6,3.8,0.782,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_sechellia,4,NA,208.3,0.7,145.8,62.5,190.9,0.69,131.7,59.2,34.8,28.2,6.622,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,
Drosophila_simulans,4,6,168.9,0.8,135.1,33.8,163.8,0.73,119.6,44.2,10.2,31.1,-20.892,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_melanogaster,4,6,174.5,0.818,142.7,31.8,172.1,0.73,125.6,46.5,4.9,34.2,-29.416,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_eugracilis,4,6,237.8,0.67,159.3,78.5,237.8,0.59,140.3,97.5,0,38,-38.048,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_paralutea,3,5,239.2,0.82,196.1,43.1,234.6,0.725,170.085,64.515,9.2,52.03,-42.83,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_prostipennis,3,5,245.5,0.76,186.6,58.9,239.8,0.72,172.7,67.1,11.4,27.8,-16.448,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_lutescens,4,6,229.6,0.82,188.3,41.3,231.9,0.75,173.925,57.975,-4.6,28.75,-33.35,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_takahashii,4,6,210.8,0.84,177.1,33.7,204,0.84,171.4,32.6,13.6,11.4,2.176,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,6
Drosophila_pseudotakahashii,4,6,212.2,NA,NA,NA,202.9,NA,NA,NA,18.6,NA,NA,4,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,6
Drosophila_mimetica,4,6,212.7,NA,NA,NA,208.3,NA,NA,NA,8.8,NA,NA,4,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,6
Drosophila_suzukii,4,6,342.8,NA,NA,NA,333.3,NA,NA,NA,18.9,NA,NA,4,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,6
Drosophila_lucipennis,3,5,274,0.74,202.8,71.2,274.1,0.7,191.9,82.2,-0.2,21.8,-21.98,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_elegans,5,5,218.5,0.77,168.2,50.3,217.9,0.7,152.5,65.4,1.2,31.4,-30.23,5,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,5,5
Drosophila_fuyamai,NA,NA,266.3,0.742,197.6,68.7,262.5,0.741,194.5,68,7.6,6.2,1.4358,NA,Sophophora,NA,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,Other,NA
Drosophila_malerkotliana,4,8,221.8,0.76,168.6,53.2,215.9,0.76,164.1,51.8,11.8,9,2.832,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,8
Drosophila_bipectinata,4,8,213,0.8,170.4,42.6,208.9,0.78,162.9,46,8.2,14.9,-6.716,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,8
Drosophila_pseudoananassae,5,10,223.6,0.79,176.6,47,215.5,0.78,168.1,47.4,16.2,17.1,-0.908,5,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,5,10
Drosophila_pseudoananassae_nigrens,5,NA,224,NA,NA,NA,224,NA,NA,NA,0,NA,NA,5,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,NA
Drosophila_parabipectinata,4,8,241,0.77,185.6,55.4,235.1,0.75,176.3,58.8,11.8,18.5,-6.69,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,8
Drosophila_phaeopleura,4,8,202.9,NA,NA,NA,187.3,NA,NA,NA,31.3,NA,NA,4,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,8
Drosophila_atripex,4,8,198.2,0.82,162.5,35.7,194.8,0.802,156.2,38.6,6.8,12.6,-5.7888,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,8
Drosophila_ananassae,4,8,205.1,0.8,164.1,41,198.6,0.78,154.9,43.7,13,18.3,-5.344,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,8
Drosophila_pallidosa,4,8,194.1,NA,NA,NA,186.8,NA,NA,NA,14.7,NA,NA,4,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,8
Drosophila_ercepeae,4,8,224,NA,NA,NA,221,NA,NA,NA,5.9,NA,NA,4,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,8
Drosophila_varians,4,8,166.7,NA,NA,NA,156,NA,NA,NA,21.5,NA,NA,4,Sophophora,XY,Other,Other,SophophoraOther,SophophoraOther,SophophoraOther,Other,8
Drosophila_emarginata,3,5,218.4,0.8,174.7,43.7,211.7,0.69,146.1,65.6,13.4,57.3,-43.894,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_neocordata,3,5,219,0.82,179.6,39.4,219.8,0.693,152.3,67.5,-1.6,54.5,-56.1172,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_paulistorum,3,5,244.7,0.835,204.3,40.4,250.1,0.736,184.1,66,-10.8,40.5,-51.3018,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_equinoxialis,3,5,264.5,0.643,170.1,94.4,266.4,0.616,164.1,102.3,-3.8,11.9,-15.7422,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_capricorni,3,5,211.8,0.835,176.9,34.9,205.4,NA,NA,NA,12.9,NA,NA,3,Sophophora,XY,Female,Other,SophophoraFemale,SophophoraOther,SophophoraOther,3,5
Drosophila_sucinea,3,5,215.1,0.8,172.1,43,211.3,0.68,143.7,67.6,7.6,56.8,-49.192,3,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,3,5
Drosophila_nebulosa,4,7,211.5,0.684,144.7,66.8,203.1,0.625,126.9,76.2,16.8,35.5,-18.657,4,Sophophora,XY,Female,Male,SophophoraFemale,SophophoraMale,SophophoraOther,4,7
Hirtodrosophila_duncani,5,9,251.6,0.897,225.7,25.9,244.3,0.872,213,31.3,14.6,25.3,-10.7112,NA,Sophophora,NA,Female,Male,SophophoraFemale,SophophoraMale,Other,5,9
Scaptodrosophila_lebanonensis,4,7,257.2,NA,NA,NA,253.3,NA,NA,NA,7.8,NA,NA,NA,Outgroup,Neo,Other,Other,OutgroupFemale,OutgroupMale,Other,Other,7
Scaptodrosophila_pattersoni,4,7,251.9,NA,NA,NA,256.9,NA,NA,NA,-10,NA,NA,NA,Outgroup,NA,Other,Other,OutgroupFemale,OutgroupMale,Other,Other,7
Scaptodrosophila_stonei,4,7,206.8,NA,NA,NA,208.3,NA,NA,NA,-2.9,NA,NA,NA,Outgroup,NA,Other,Other,OutgroupOther,OutgroupOther,Other,Other,7
